dataset,class,homophily
Cora,0,0.699410617351532
Cora,1,0.794946551322937
Cora,2,0.9058050513267517
Cora,3,0.8280479311943054
Cora,4,0.8291457295417786
Cora,5,0.7679557800292969
Cora,6,0.7689969539642334
Amazon Photo,0,0.8895031809806824
Amazon Photo,1,0.8315590023994446
Amazon Photo,2,0.9772968888282776
Amazon Photo,3,0.6752511262893677
Amazon Photo,4,0.7730385065078735
Amazon Photo,5,0.9873164296150208
Amazon Photo,6,0.874034583568573
Amazon Photo,7,0.3976283371448517
Texas,0,0.021739130839705467
Texas,1,0.0
Texas,2,0.1034482792019844
Texas,3,0.37037035822868347
Texas,4,0.08219178020954132
Chameleon,0,0.27265802025794983
Chameleon,1,0.14673912525177002
Chameleon,2,0.25735899806022644
Chameleon,3,0.23334091901779175
Chameleon,4,0.2873031795024872
CiteSeer,0,0.36466166377067566
CiteSeer,1,0.6366197466850281
CiteSeer,2,0.7835904955863953
CiteSeer,3,0.7625986933708191
CiteSeer,4,0.7951529026031494
CiteSeer,5,0.7910313606262207
Amazon Computers,0,0.6688851714134216
Amazon Computers,1,0.6036298274993896
Amazon Computers,2,0.8879239559173584
Amazon Computers,3,0.5087567567825317
Amazon Computers,4,0.8586792945861816
Amazon Computers,5,0.9147186279296875
Amazon Computers,6,0.5105823278427124
Amazon Computers,7,0.9050507545471191
Amazon Computers,8,0.6645283699035645
Amazon Computers,9,0.7788054943084717
Coauthor CS,0,0.7284311056137085
Coauthor CS,1,0.5794392228126526
Coauthor CS,2,0.7568681240081787
Coauthor CS,3,0.7197092175483704
Coauthor CS,4,0.8163847327232361
Coauthor CS,5,0.7832716107368469
Coauthor CS,6,0.617729663848877
Coauthor CS,7,0.7683343291282654
Coauthor CS,8,0.5886702537536621
Coauthor CS,9,0.889502763748169
Coauthor CS,10,0.881875216960907
Coauthor CS,11,0.8276379108428955
Coauthor CS,12,0.8645127415657043
Coauthor CS,13,0.9124836921691895
Coauthor CS,14,0.83082515001297
Cornell,0,0.06896551698446274
Cornell,1,0.2222222238779068
Cornell,2,0.0
Cornell,3,0.5
Cornell,4,0.1428571492433548
Wisconsin,0,0.3333333432674408
Wisconsin,1,0.23320157825946808
Wisconsin,2,0.1964285671710968
Wisconsin,3,0.08749999850988388
Wisconsin,4,0.17910447716712952
Actor,0,0.11268403381109238
Actor,1,0.16972477734088898
Actor,2,0.19370834529399872
Actor,3,0.28525686264038086
Actor,4,0.261127233505249
Squirrel,0,0.20437194406986237
Squirrel,1,0.1874115914106369
Squirrel,2,0.21964474022388458
Squirrel,3,0.2438027411699295
Squirrel,4,0.2356066107749939
Minesweeper,0,0.8016944527626038
Minesweeper,1,0.20767036080360413
Tolokers,0,0.6942191123962402
Tolokers,1,0.39836472272872925
