dataset,model,depth,hidden,eps,mean,std,count
Actor,fagcn,3,32,0.5,0.35790000000000005,0.009318261640456346,3
Actor,gcn,2,64,na,0.29606666666666664,0.007427202254774907,3
Actor,mlp,4,16,na,0.37653333333333333,0.011510574848083509,3
CS,fagcn,3,64,0.5,0.9577333333333332,0.004061198509471499,3
CS,gcn,2,64,na,0.9372333333333334,0.004361574639202372,3
CS,mlp,2,64,na,0.9441333333333333,0.004737439533475175,3
Chameleon,fagcn,3,32,0.4,0.5116999999999999,0.014262888907931646,3
Chameleon,gcn,2,16,na,0.3918333333333333,0.010340373945527039,3
Chameleon,mlp,3,16,na,0.5146333333333334,0.047660500766707546,3
CiteSeer,fagcn,3,32,0.4,0.7743000000000001,0.013937359864766404,3
CiteSeer,gcn,2,64,na,0.7688,0.00259807621135335,3
CiteSeer,mlp,3,64,na,0.7357,0.006538348415311023,3
Computers,fagcn,4,64,0.3,0.9051333333333332,0.004196824196143227,3
Computers,gcn,2,64,na,0.8964,0.007937883848986468,3
Computers,mlp,2,64,na,0.8304666666666667,0.021404750251599155,3
Cora,fagcn,3,16,0.1,0.8932000000000001,0.015094038558318312,3
Cora,gcn,2,64,na,0.8803,0.0018000000000000238,3
Cora,mlp,2,64,na,0.7624333333333334,0.025582285537717953,3
Cornell,fagcn,4,64,0.5,0.8158,0.02629999999999999,3
Cornell,gcn,4,32,na,0.5175666666666667,0.09962742259706082,3
Cornell,mlp,2,32,na,0.8333333333333334,0.040173913592446195,3
Minesweeper,fagcn,2,16,0.3,0.7976666666666666,0.0010408329997330607,3
Minesweeper,gcn,2,16,na,0.7953333333333333,0.004368447474027049,3
Minesweeper,mlp,2,16,na,0.7951666666666667,0.004163331998932265,3
Photo,fagcn,3,64,0.5,0.9505333333333333,0.0026312227829154208,3
Photo,gcn,2,32,na,0.9344,0.0032233522922572757,3
Photo,mlp,2,64,na,0.9167666666666667,0.011709967264400547,3
Squirrel,fagcn,2,64,0.5,0.3711333333333333,0.02074037929579238,3
Squirrel,gcn,3,32,na,0.2555,0.01092199615454976,3
Squirrel,mlp,2,16,na,0.3535,0.004386342439892274,3
Texas,fagcn,4,32,0.5,0.7456333333333333,0.10634379781319325,3
Texas,gcn,3,32,na,0.5263,0.0,3
Texas,mlp,3,64,na,0.8245666666666667,0.06618688188254027,3
Tolokers,fagcn,4,16,0.2,0.7895,0.012752646784099368,3
Tolokers,gcn,2,64,na,0.7844000000000001,0.014208448191129073,3
Tolokers,mlp,2,16,na,0.7832666666666667,0.011706977976118874,3
Wisconsin,fagcn,4,64,0.5,0.8169666666666666,0.022632130552233336,3
Wisconsin,gcn,3,32,na,0.5490333333333334,0.11927968533381252,3
Wisconsin,mlp,2,16,na,0.8496666666666667,0.04084070681725935,3
